date,id,price,original_price,unit_value,unit_basis,promotion,availability,delisted
2026-09-12,751602,3.65,0,4.87,L,,,
2026-09-13,404125,2.85,0,1.43,L,,true,
2026-09-13,888825,2.99,0,3.74,kg,,true,
2026-09-13,703285,2.8,0,9.33,kg,,true,
2026-09-13,615970,6.27,0,10.45,kg,,true,
2026-09-13,906882,2.99,0,11.96,kg,,true,
2026-09-13,800487,3.25,0,14.44,kg,Only,true,
2026-09-13,906001,1.4,0,7,kg,,true,
2026-09-13,784773,4.15,0,0.35,pc,,true,
2026-09-13,831392,1.99,0,13.27,kg,,true,
2026-09-13,905119,2.2,2.8,11,kg,Pick Of The Week,true,
2026-09-13,800591,1.95,0,2.17,kg,,true,
2026-09-13,108783,1.79,0,3.25,kg,,true,
2026-09-13,902231,6.84,0,7.6,kg,,true,
2026-09-13,857232,4.25,0,5.31,kg,,true,
2026-09-13,903005,4.28,0,5.71,kg,,true,
2026-09-13,896880,2.49,0,8.3,kg,,true,
2026-09-13,881310,2.49,0,5.93,kg,,true,
2026-09-13,873734,3.99,0,8.87,kg,,true,
2026-09-13,760013,3.99,0,8.14,kg,Only,true,
2026-09-13,790517,0.79,0,1.58,kg,,true,
2026-09-13,879463,1.99,0,3.98,kg,Pick Of The Week,true,
2026-09-13,899949,2.95,0,1.97,kg,,true,
2026-09-13,837230,16.49,0,8.25,L,,true,
2026-09-13,821581,6.39,0,2.13,L,,true,
2026-09-13,785711,0.99,0,0.99,kg,,true,
2026-09-13,863983,3.06,0,2.55,kg,,true,
2026-09-13,128100,1.99,0,3.98,kg,,true,
2026-09-13,765561,2.19,0,14.6,kg,,true,
2026-09-13,111465,3.55,0,7.1,kg,,true,
2026-09-13,894152,3.65,0,6.64,kg,Only,true,
2026-09-13,129681,3.59,0,17.95,kg,Only,true,
2026-09-13,803448,2.3,0,0.06,pc,,true,
2026-09-13,777472,3.19,0,6.72,kg,,true,
2026-09-13,618125,1.99,0,5.38,kg,,true,
2026-09-13,134531,3.59,0,8.98,kg,,true,
2026-09-13,782097,3.15,0,6.3,kg,,true,
2026-09-13,893602,2.1,0,13.13,kg,,true,
2026-09-13,618973,2.19,0,24.33,kg,,true,
2026-09-13,619770,3.95,0,1.76,L,Only,true,
2026-09-13,402660,2.25,0,0.25,L,Only,true,
2026-09-13,108140,1.95,0,1.3,L,Only,true,
2026-09-13,342813,7.99,0,2,L,Only,true,
2026-09-13,108839,3.59,0,4.79,L,,true,
2026-09-13,901801,3.69,0,3.35,kg,,true,
2026-09-13,901802,0.91,0,1.3,kg,,true,
2026-09-13,770756,3.51,0,1.76,kg,,true,
2026-09-13,864395,3.09,0,1.93,kg,,true,
2026-09-13,901457,2.15,0,2.15,kg,,true,
2026-09-13,861853,1.99,2.65,2.49,kg,Price Drop,true,
2026-09-13,901100,2.34,0,1.95,kg,,true,
2026-09-13,901832,0.85,0,1.7,kg,,true,
2026-09-13,761110,0.66,0,4.4,kg,,true,
2026-09-13,865040,1.46,0,1.95,kg,,true,
2026-09-13,901810,4.45,0,6.36,kg,,true,
2026-09-13,787232,3.99,0,0.399,pc,,true,
2026-09-13,787229,2.59,0,3.2375,kg,,true,
2026-09-13,441027,1.55,0,2.07,L,,true,
2026-09-13,630347,9.35,0,0.28,pc,,true,
2026-09-13,610233,1.79,0,17.9,L,,true,
2026-09-13,751602,3.65,0,4.87,L,,true,
2026-09-14,404125,2.85,0,1.43,L,,true,
2026-09-14,888825,2.99,0,3.74,kg,,true,
2026-09-14,703285,2.8,0,9.33,kg,,true,
2026-09-14,615970,6.27,0,10.45,kg,,true,
2026-09-14,906882,2.99,0,11.96,kg,,true,
2026-09-14,800487,3.25,0,14.44,kg,Only,true,
2026-09-14,906001,1.4,0,7,kg,,true,
2026-09-14,784773,4.15,0,0.35,pc,,true,
2026-09-14,831392,1.99,0,13.27,kg,,true,
2026-09-14,905119,2.2,2.8,11,kg,Pick Of The Week,true,
2026-09-14,800591,1.95,0,2.17,kg,,true,
2026-09-14,108783,1.79,0,3.25,kg,,true,
2026-09-14,902231,6.84,0,7.6,kg,,true,
2026-09-14,857232,4.25,0,5.31,kg,,true,
2026-09-14,903005,4.28,0,5.71,kg,,true,
2026-09-14,896880,2.49,0,8.3,kg,,true,
2026-09-14,881310,2.49,0,5.93,kg,,true,
2026-09-14,873734,3.99,0,8.87,kg,,true,
2026-09-14,760013,3.99,0,8.14,kg,Only,true,
2026-09-14,790517,0.79,0,1.58,kg,,true,
2026-09-14,879463,1.99,0,3.98,kg,Pick Of The Week,true,
2026-09-14,899949,2.95,0,1.97,kg,,true,
2026-09-14,837230,16.49,0,8.25,L,,true,
2026-09-14,821581,6.39,0,2.13,L,,true,
2026-09-14,785711,0.99,0,0.99,kg,,true,
2026-09-14,863983,3.06,0,2.55,kg,,true,
2026-09-14,128100,1.99,0,3.98,kg,,true,
2026-09-14,765561,2.19,0,14.6,kg,,true,
2026-09-14,111465,3.55,0,7.1,kg,,true,
2026-09-14,894152,3.65,0,6.64,kg,Only,true,
2026-09-14,129681,3.59,0,17.95,kg,Only,true,
2026-09-14,803448,2.3,0,0.06,pc,,true,
2026-09-14,777472,3.19,0,6.72,kg,,true,
2026-09-14,618125,1.99,0,5.38,kg,,true,
2026-09-14,134531,3.59,0,8.98,kg,,true,
2026-09-14,782097,3.15,0,6.3,kg,,true,
2026-09-14,893602,2.1,0,13.13,kg,,true,
2026-09-14,618973,2.19,0,24.33,kg,,true,
2026-09-14,619770,3.95,0,1.76,L,Only,true,
2026-09-14,402660,2.25,0,0.25,L,Only,true,
2026-09-14,108140,1.95,0,1.3,L,Only,true,
2026-09-14,342813,7.99,0,2,L,Only,true,
2026-09-14,108839,3.59,0,4.79,L,,true,
2026-09-14,901801,3.69,0,3.35,kg,,true,
2026-09-14,901802,0.6,0,0.86,kg,,true,
2026-09-14,770756,3.51,0,1.76,kg,,true,
2026-09-14,864395,3.09,0,1.93,kg,,true,
2026-09-14,901457,2.15,0,2.15,kg,,true,
2026-09-14,861853,1.99,2.65,2.49,kg,Price Drop,true,
2026-09-14,901100,2.34,0,1.95,kg,,true,
2026-09-14,901832,0.85,0,1.7,kg,,true,
2026-09-14,761110,0.66,0,4.4,kg,,true,
2026-09-14,865040,1.46,0,1.95,kg,,true,
2026-09-14,901810,4.45,0,6.36,kg,,true,
2026-09-14,787232,3.99,0,0.399,pc,,true,
2026-09-14,787229,2.59,0,3.2375,kg,,true,
2026-09-14,441027,1.55,0,2.07,L,,true,
2026-09-14,630347,9.35,0,0.28,pc,,true,
2026-09-14,610233,1.79,0,17.9,L,,true,
2026-09-14,751602,3.65,0,4.87,L,,true,
2026-09-15,404125,2.85,0,1.43,L,,true,
2026-09-15,888825,2.99,0,3.74,kg,,true,
2026-09-15,703285,2.8,0,9.33,kg,,true,
2026-09-15,615970,6.27,0,10.45,kg,,true,
2026-09-15,906882,2.99,0,11.96,kg,,true,
2026-09-15,800487,2.65,0,11.78,kg,Only,true,
2026-09-15,906001,1.4,0,7,kg,,true,
2026-09-15,784773,4.15,0,0.35,pc,,true,
2026-09-15,831392,1.99,0,13.27,kg,,true,
2026-09-15,905119,2.2,2.8,11,kg,Pick Of The Week,true,
2026-09-15,800591,1.95,0,2.17,kg,,true,
2026-09-15,108783,1.79,0,3.25,kg,,true,
2026-09-15,902231,6.84,0,7.6,kg,,true,
2026-09-15,857232,4.25,0,5.31,kg,,true,
2026-09-15,903005,4.28,0,5.71,kg,,true,
2026-09-15,896880,2.49,0,8.3,kg,,true,
2026-09-15,881310,2.49,0,5.93,kg,,true,
2026-09-15,873734,3.99,0,8.87,kg,,true,
2026-09-15,760013,3.99,0,8.14,kg,Only,true,
2026-09-15,790517,0.79,0,1.58,kg,,true,
2026-09-15,879463,1.99,0,3.98,kg,Pick Of The Week,true,
2026-09-15,899949,2.95,0,1.97,kg,,true,
2026-09-15,837230,16.49,0,8.25,L,,true,
2026-09-15,821581,6.39,0,2.13,L,,true,
2026-09-15,785711,0.99,0,0.99,kg,,true,
2026-09-15,863983,3.06,0,2.55,kg,,true,
2026-09-15,128100,1.99,0,3.98,kg,,true,
2026-09-15,765561,2.19,0,14.6,kg,,true,
2026-09-15,111465,3.15,0,6.3,kg,Only,true,
2026-09-15,894152,3.65,0,6.64,kg,Only,true,
2026-09-15,129681,3.59,0,17.95,kg,Only,true,
2026-09-15,803448,2.3,0,0.06,pc,,true,
2026-09-15,777472,3.19,0,6.72,kg,,true,
2026-09-15,618125,1.99,0,5.38,kg,,true,
2026-09-15,134531,3.59,0,8.98,kg,,true,
2026-09-15,782097,3.15,0,6.3,kg,,true,
2026-09-15,893602,2.1,0,13.13,kg,,true,
2026-09-15,618973,2.19,0,24.33,kg,,true,
2026-09-15,619770,3.95,0,1.76,L,Only,true,
2026-09-15,402660,2.25,0,0.25,L,Only,true,
2026-09-15,108140,1.95,0,1.3,L,Only,true,
2026-09-15,342813,7.99,0,2,L,Only,true,
2026-09-15,108839,3.59,0,4.79,L,,true,
2026-09-15,901801,3.69,0,3.35,kg,,true,
2026-09-15,901802,0.6,0,0.86,kg,,true,
2026-09-15,770756,3.51,0,1.76,kg,,true,
2026-09-15,864395,3.09,0,1.93,kg,,true,
2026-09-15,901457,2.15,0,2.15,kg,,true,
2026-09-15,861853,1.99,2.65,2.49,kg,Price Drop,true,
2026-09-15,901100,2.34,0,1.95,kg,,true,
2026-09-15,901832,0.85,0,1.7,kg,,true,
2026-09-15,761110,0.66,0,4.4,kg,,true,
2026-09-15,865040,1.46,0,1.95,kg,,true,
2026-09-15,901810,4.45,0,6.36,kg,,true,
2026-09-15,787232,3.99,0,0.399,pc,,true,
2026-09-15,787229,2.59,0,3.2375,kg,,true,
2026-09-15,441027,1.55,0,2.07,L,,true,
2026-09-15,630347,9.35,0,0.28,pc,,true,
2026-09-15,610233,1.79,0,17.9,L,,true,
2026-09-15,751602,3.65,0,4.87,L,,true,
2026-09-16,404125,2.85,0,1.43,L,,true,
2026-09-16,888825,2.99,0,3.74,kg,,true,
2026-09-16,703285,2.8,0,9.33,kg,,true,
2026-09-16,615970,6.27,0,10.45,kg,,true,
2026-09-16,906882,2.99,0,11.96,kg,,true,
2026-09-16,800487,2.65,0,11.78,kg,Only,true,
2026-09-16,906001,1.4,0,7,kg,,true,
2026-09-16,784773,4.15,0,0.35,pc,,true,
2026-09-16,831392,1.99,0,13.27,kg,,true,
2026-09-16,905119,2.2,2.8,11,kg,Pick Of The Week,true,
2026-09-16,800591,1.95,0,2.17,kg,,true,
2026-09-16,108783,1.79,0,3.25,kg,,true,
2026-09-16,902231,6.84,0,7.6,kg,,true,
2026-09-16,857232,4.25,0,5.31,kg,,true,
2026-09-16,903005,4.28,0,5.71,kg,,true,
2026-09-16,896880,2.49,0,8.3,kg,,true,
2026-09-16,881310,2.49,0,5.93,kg,,true,
2026-09-16,873734,3.99,0,8.87,kg,,true,
2026-09-16,760013,3.99,0,8.14,kg,Only,true,
2026-09-16,790517,0.79,0,1.58,kg,,true,
2026-09-16,879463,1.99,0,3.98,kg,Pick Of The Week,true,
2026-09-16,899949,2.95,0,1.97,kg,,true,
2026-09-16,837230,16.49,0,8.25,L,,true,
2026-09-16,821581,6.39,0,2.13,L,,true,
2026-09-16,785711,0.99,0,0.99,kg,,true,
2026-09-16,863983,3.06,0,2.55,kg,,true,
2026-09-16,128100,1.99,0,3.98,kg,,true,
2026-09-16,765561,2.19,0,14.6,kg,,true,
2026-09-16,111465,3.15,0,6.3,kg,Only,true,
2026-09-16,894152,3.65,0,6.64,kg,Only,true,
2026-09-16,129681,3.59,0,17.95,kg,Only,true,
2026-09-16,803448,2.3,0,0.06,pc,,true,
2026-09-16,777472,3.19,0,6.72,kg,,true,
2026-09-16,618125,1.99,0,5.38,kg,,true,
2026-09-16,134531,3.59,0,8.98,kg,,true,
2026-09-16,782097,3.15,0,6.3,kg,,true,
2026-09-16,893602,2.1,0,13.13,kg,,true,
2026-09-16,618973,2.19,0,24.33,kg,,true,
2026-09-16,619770,3.95,0,1.76,L,Only,true,
2026-09-16,402660,2.25,0,0.25,L,Only,true,
2026-09-16,108140,1.95,0,1.3,L,Only,true,
2026-09-16,342813,7.99,0,2,L,Only,true,
2026-09-16,108839,3.59,0,4.79,L,,true,
2026-09-16,901801,3.69,0,3.35,kg,,true,
2026-09-16,901802,0.6,0,0.86,kg,,true,
2026-09-16,770756,3.51,0,1.76,kg,,true,
2026-09-16,864395,3.09,0,1.93,kg,,true,
2026-09-16,901457,2.15,0,2.15,kg,,true,
2026-09-16,861853,1.99,2.65,2.49,kg,Price Drop,true,
2026-09-16,901100,2.34,0,1.95,kg,,true,
2026-09-16,901832,0.85,0,1.7,kg,,true,
2026-09-16,761110,0.66,0,4.4,kg,,true,
2026-09-16,865040,1.46,0,1.95,kg,,true,
2026-09-16,901810,4.45,0,6.36,kg,,true,
2026-09-16,787232,3.99,0,0.399,pc,,true,
2026-09-16,787229,2.59,0,3.2375,kg,,true,
2026-09-16,441027,1.55,0,2.07,L,,true,
2026-09-16,630347,9.35,0,0.28,pc,,true,
2026-09-16,610233,1.79,0,17.9,L,,true,
2026-09-16,751602,3.65,0,4.87,L,,true,
2026-09-17,404125,2.85,0,1.43,L,,true,
2026-09-17,888825,2.99,0,3.74,kg,,true,
2026-09-17,703285,2.8,0,9.33,kg,,true,
2026-09-17,615970,6.27,0,10.45,kg,,true,
2026-09-17,906882,2.99,0,11.96,kg,,true,
2026-09-17,800487,2.65,0,11.78,kg,Only,true,
2026-09-17,906001,1.4,0,7,kg,,true,
2026-09-17,784773,4.15,0,0.35,pc,,true,
2026-09-17,831392,1.99,0,13.27,kg,,true,
2026-09-17,905119,2.2,2.8,11,kg,Pick Of The Week,true,
2026-09-17,800591,1.95,0,2.17,kg,,true,
2026-09-17,108783,1.79,0,3.25,kg,,true,
2026-09-17,902231,6.84,0,7.6,kg,,true,
2026-09-17,857232,4.25,0,5.31,kg,,true,
2026-09-17,903005,4.28,0,5.71,kg,,true,
2026-09-17,896880,2.49,0,8.3,kg,,true,
2026-09-17,881310,2.49,0,5.93,kg,,true,
2026-09-17,873734,3.99,0,8.87,kg,,true,
2026-09-17,760013,3.99,0,8.14,kg,Only,true,
2026-09-17,790517,0.79,0,1.58,kg,,true,
2026-09-17,879463,1.99,0,3.98,kg,Pick Of The Week,true,
2026-09-17,899949,2.95,0,1.97,kg,,true,
2026-09-17,837230,16.49,0,8.25,L,,true,
2026-09-17,821581,6.39,0,2.13,L,,true,
2026-09-17,785711,0.99,0,0.99,kg,,true,
2026-09-17,863983,3.06,0,2.55,kg,,true,
2026-09-17,128100,1.99,0,3.98,kg,,true,
2026-09-17,765561,2.19,0,14.6,kg,,true,
2026-09-17,111465,3.15,0,6.3,kg,Only,true,
2026-09-17,894152,3.65,0,6.64,kg,Only,true,
2026-09-17,129681,3.59,0,17.95,kg,Only,true,
2026-09-17,803448,2.3,0,0.06,pc,,true,
2026-09-17,777472,3.19,0,6.72,kg,,true,
2026-09-17,618125,1.99,0,5.38,kg,,true,
2026-09-17,134531,3.59,0,8.98,kg,,true,
2026-09-17,782097,3.15,0,6.3,kg,,true,
2026-09-17,893602,2.1,0,13.13,kg,,true,
2026-09-17,618973,2.19,0,24.33,kg,,true,
2026-09-17,619770,3.95,0,1.76,L,Only,true,
2026-09-17,402660,2.25,0,0.25,L,Only,true,
2026-09-17,108140,1.95,0,1.3,L,Only,true,
2026-09-17,342813,7.99,0,2,L,Only,true,
2026-09-17,108839,3.59,0,4.79,L,,true,
2026-09-17,901801,3.25,0,2.95,kg,,true,
2026-09-17,901802,0.6,0,0.86,kg,,true,
2026-09-17,770756,3.51,0,1.76,kg,,true,
2026-09-17,864395,3.09,0,1.93,kg,,true,
2026-09-17,901457,2.15,0,2.15,kg,,true,
2026-09-17,861853,1.99,2.65,2.49,kg,Price Drop,true,
2026-09-17,901100,2.34,0,1.95,kg,,true,
2026-09-17,901832,0.98,0,1.96,kg,,true,
2026-09-17,761110,0.66,0,4.4,kg,,true,
2026-09-17,865040,1.46,0,1.95,kg,,true,
2026-09-17,901810,4.45,0,6.36,kg,,true,
2026-09-17,787232,3.99,0,0.399,pc,,true,
2026-09-17,787229,2.59,0,3.2375,kg,,true,
2026-09-17,441027,1.55,0,2.07,L,,true,
2026-09-17,630347,9.35,0,0.28,pc,,true,
2026-09-17,610233,1.79,0,17.9,L,,true,
2026-09-17,751602,3.65,0,4.87,L,,true,
2026-09-18,404125,2.85,0,1.43,L,,true,
2026-09-18,888825,2.99,0,3.74,kg,,true,
2026-09-18,703285,2.8,0,9.33,kg,,true,
2026-09-18,615970,6.27,0,10.45,kg,,true,
2026-09-18,906882,2.99,0,11.96,kg,,true,
2026-09-18,800487,2.65,0,11.78,kg,Only,true,
2026-09-18,906001,1.4,0,7,kg,,true,
2026-09-18,784773,4.15,0,0.35,pc,,true,
2026-09-18,831392,1.99,0,13.27,kg,,true,
2026-09-18,905119,2.2,2.8,11,kg,Pick Of The Week,true,
2026-09-18,800591,1.95,0,2.17,kg,,true,
2026-09-18,108783,1.79,0,3.25,kg,,true,
2026-09-18,902231,6.84,0,7.6,kg,,true,
2026-09-18,857232,4.25,0,5.31,kg,,true,
2026-09-18,903005,4.28,0,5.71,kg,,true,
2026-09-18,896880,2.49,0,8.3,kg,,true,
2026-09-18,881310,2.49,0,5.93,kg,,true,
2026-09-18,873734,3.99,0,8.87,kg,,true,
2026-09-18,760013,3.99,0,8.14,kg,Only,true,
2026-09-18,790517,0.79,0,1.58,kg,,true,
2026-09-18,879463,1.99,0,3.98,kg,Pick Of The Week,true,
2026-09-18,899949,2.95,0,1.97,kg,,true,
2026-09-18,837230,16.49,0,8.25,L,,true,
2026-09-18,821581,6.39,0,2.13,L,,true,
2026-09-18,785711,0.99,0,0.99,kg,,true,
2026-09-18,863983,3.06,0,2.55,kg,,true,
2026-09-18,128100,1.99,0,3.98,kg,,true,
2026-09-18,765561,2.19,0,14.6,kg,,true,
2026-09-18,111465,3.15,0,6.3,kg,Only,true,
2026-09-18,894152,3.65,0,6.64,kg,Only,true,
2026-09-18,129681,3.59,0,17.95,kg,Only,true,
2026-09-18,803448,2.3,0,0.06,pc,,true,
2026-09-18,777472,3.19,0,6.72,kg,,true,
2026-09-18,618125,1.99,0,5.38,kg,,true,
2026-09-18,134531,3.59,0,8.98,kg,,true,
2026-09-18,782097,3.15,0,6.3,kg,,true,
2026-09-18,893602,2.1,0,13.13,kg,,true,
2026-09-18,618973,2.19,0,24.33,kg,,true,
2026-09-18,619770,3.95,0,1.76,L,Only,true,
2026-09-18,402660,2.25,0,0.25,L,Only,true,
2026-09-18,108140,1.95,0,1.3,L,Only,true,
2026-09-18,342813,7.99,0,2,L,Only,true,
2026-09-18,108839,3.59,0,4.79,L,,true,
2026-09-18,901801,3.25,0,2.95,kg,,true,
2026-09-18,901802,0.6,0,0.86,kg,,true,
2026-09-18,770756,3.51,0,1.76,kg,,true,
2026-09-18,864395,3.09,0,1.93,kg,,true,
2026-09-18,901457,2.15,0,2.15,kg,,true,
2026-09-18,861853,1.99,2.65,2.49,kg,Price Drop,true,
2026-09-18,901100,2.34,0,1.95,kg,,true,
2026-09-18,901832,0.98,0,1.96,kg,,true,
2026-09-18,761110,0.66,0,4.4,kg,,true,
2026-09-18,865040,1.46,0,1.95,kg,,true,
2026-09-18,901810,4.45,0,6.36,kg,,true,
2026-09-18,787232,3.99,0,0.399,pc,,true,
2026-09-18,787229,2.59,0,3.2375,kg,,true,
2026-09-18,441027,1.55,0,2.07,L,,true,
2026-09-18,630347,9.35,0,0.28,pc,,true,
2026-09-18,610233,1.79,0,17.9,L,,true,
2026-09-18,751602,3.65,0,4.87,L,,true,
2026-09-19,404125,2.85,0,1.43,L,,true,
2026-09-19,888825,2.99,0,3.74,kg,,true,
2026-09-19,703285,2.8,0,9.33,kg,,true,
2026-09-19,615970,6.27,0,10.45,kg,,true,
2026-09-19,906882,2.99,0,11.96,kg,,true,
2026-09-19,800487,2.65,0,11.78,kg,Only,true,
2026-09-19,906001,1.4,0,7,kg,,true,
2026-09-19,784773,4.15,0,0.35,pc,,true,
2026-09-19,831392,1.99,0,13.27,kg,,true,
2026-09-19,905119,2.2,2.8,11,kg,Pick Of The Week,true,
2026-09-19,800591,1.95,0,2.17,kg,,true,
2026-09-19,108783,1.79,0,3.25,kg,,true,
2026-09-19,902231,6.84,0,7.6,kg,,true,
2026-09-19,857232,4.25,0,5.31,kg,,true,
2026-09-19,903005,4.28,0,5.71,kg,,true,
2026-09-19,896880,2.49,0,8.3,kg,,true,
2026-09-19,881310,2.49,0,5.93,kg,,true,
2026-09-19,873734,3.99,0,8.87,kg,,true,
2026-09-19,760013,3.99,0,8.14,kg,Only,true,
2026-09-19,790517,0.79,0,1.58,kg,,true,
2026-09-19,879463,1.99,0,3.98,kg,Pick Of The Week,true,
2026-09-19,899949,2.95,0,1.97,kg,,true,
2026-09-19,837230,16.49,0,8.25,L,,true,
2026-09-19,821581,6.39,0,2.13,L,,true,
2026-09-19,785711,0.99,0,0.99,kg,,true,
2026-09-19,863983,3.06,0,2.55,kg,,true,
2026-09-19,128100,1.99,0,3.98,kg,,true,
2026-09-19,765561,2.19,0,14.6,kg,,true,
2026-09-19,111465,3.15,0,6.3,kg,Only,true,
2026-09-19,894152,3.65,0,6.64,kg,Only,true,
2026-09-19,129681,3.59,0,17.95,kg,Only,true,
2026-09-19,803448,2.3,0,0.06,pc,,true,
2026-09-19,777472,3.19,0,6.72,kg,,true,
2026-09-19,618125,1.99,0,5.38,kg,,true,
2026-09-19,134531,3.59,0,8.98,kg,,true,
2026-09-19,782097,3.15,0,6.3,kg,,true,
2026-09-19,893602,2.1,0,13.13,kg,,true,
2026-09-19,618973,2.19,0,24.33,kg,,true,
2026-09-19,619770,3.95,0,1.76,L,Only,true,
2026-09-19,402660,2.25,0,0.25,L,Only,true,
2026-09-19,108140,1.95,0,1.3,L,Only,true,
2026-09-19,342813,7.99,0,2,L,Only,true,
2026-09-19,108839,3.59,0,4.79,L,,true,
2026-09-19,901801,3.25,0,2.95,kg,,true,
2026-09-19,901802,0.88,0,1.26,kg,,true,
2026-09-19,770756,3.51,0,1.76,kg,,true,
2026-09-19,864395,3.09,0,1.93,kg,,true,
2026-09-19,901457,2.15,0,2.15,kg,,true,
2026-09-19,861853,1.99,2.65,2.49,kg,Price Drop,true,
2026-09-19,901100,2.34,0,1.95,kg,,true,
2026-09-19,901832,0.98,0,1.96,kg,,true,
2026-09-19,761110,0.66,0,4.4,kg,,true,
2026-09-19,865040,1.46,0,1.95,kg,,true,
2026-09-19,901810,4.45,0,6.36,kg,,true,
2026-09-19,787232,3.99,0,0.399,pc,,true,
2026-09-19,787229,2.59,0,3.2375,kg,,true,
2026-09-19,441027,1.55,0,2.07,L,,true,
2026-09-19,630347,9.35,0,0.28,pc,,true,
2026-09-19,610233,1.79,0,17.9,L,,true,
2026-09-19,751602,3.65,0,4.87,L,,true,
